6LMO9UEL,1,0,http://www.wikidata.org/entity/Q3244291
6LMO9UEL,2,0,http://www.wikidata.org/entity/Q533235
6LMO9UEL,3,0,http://www.wikidata.org/entity/Q1815710
6LMO9UEL,4,0,http://www.wikidata.org/entity/Q1254897
6LMO9UEL,5,0,http://www.wikidata.org/entity/Q1568237
6LMO9UEL,6,0,http://www.wikidata.org/entity/Q223037
6LMO9UEL,7,0,http://www.wikidata.org/entity/Q3176886
6LMO9UEL,8,0,http://www.wikidata.org/entity/Q1401524
6LMO9UEL,1,1,http://www.wikidata.org/entity/Q5492926
6LMO9UEL,2,1,http://www.wikidata.org/entity/Q3512682
6LMO9UEL,4,1,http://www.wikidata.org/entity/Q7088559
6LMO9UEL,5,1,http://www.wikidata.org/entity/Q112064232
6LMO9UEL,7,1,http://www.wikidata.org/entity/Q4931142
6LMO9UEL,8,1,http://www.wikidata.org/entity/Q21284580
6LMO9UEL,3,2,http://www.wikidata.org/entity/Q7206338
6LMO9UEL,5,2,http://www.wikidata.org/entity/Q23048090
6LMO9UEL,8,2,http://www.wikidata.org/entity/Q33141018
6LMO9UEL,7,3,http://www.wikidata.org/entity/Q12969176
Y2OP2DV5,2,0,http://www.wikidata.org/entity/Q100796950
Y2OP2DV5,3,0,http://www.wikidata.org/entity/Q542563
Y2OP2DV5,4,0,http://www.wikidata.org/entity/Q3646218
Y2OP2DV5,6,0,http://www.wikidata.org/entity/Q892931
Y2OP2DV5,2,1,http://www.wikidata.org/entity/Q7685627
Y2OP2DV5,3,1,http://www.wikidata.org/entity/Q7417144
Y2OP2DV5,5,1,http://www.wikidata.org/entity/Q16870472
Y2OP2DV5,6,1,http://www.wikidata.org/entity/Q2938064
Y2OP2DV5,2,3,http://www.wikidata.org/entity/Q6758301
Y2OP2DV5,3,3,http://www.wikidata.org/entity/Q428535
Y2OP2DV5,4,3,http://www.wikidata.org/entity/Q2567482
Y2OP2DV5,5,3,http://www.wikidata.org/entity/Q193020
Y2OP2DV5,2,4,http://www.wikidata.org/entity/Q1839484
Y2OP2DV5,3,4,http://www.wikidata.org/entity/Q603034
Y2OP2DV5,4,4,http://www.wikidata.org/entity/Q1191335
Y2OP2DV5,5,4,http://www.wikidata.org/entity/Q7960924
Y2OP2DV5,6,4,http://www.wikidata.org/entity/Q1798612
Y2OP2DV5,2,6,http://www.wikidata.org/entity/Q6112089
Y2OP2DV5,3,6,http://www.wikidata.org/entity/Q16545269
Y2OP2DV5,6,6,http://www.wikidata.org/entity/Q66459269
Y2OP2DV5,2,7,http://www.wikidata.org/entity/Q7864172
Y2OP2DV5,3,7,http://www.wikidata.org/entity/Q1411222
Y2OP2DV5,4,7,http://www.wikidata.org/entity/Q2665383
Y2OP2DV5,6,7,http://www.wikidata.org/entity/Q617433
Y2OP2DV5,2,9,http://www.wikidata.org/entity/Q7208366
